-1.33	99.99
-710.31	39482.20	
-711.63	39529.71	
-712.96	39577.12	
-714.29	39624.43	
-715.62	39671.65	
-716.95	39718.77	
-718.27	39765.78	
-719.60	39812.70	
-720.93	39859.52	
-722.26	39906.24	
-723.58	39952.87	
-724.91	39999.39	
-726.24	40045.82	
-727.57	40092.16	
-728.90	40138.39	
-730.22	40184.52	
-731.55	40230.56	
-732.88	40276.50	
-734.21	40322.34	
-735.53	40368.08	
-736.86	40413.72	
-738.19	40459.27	
-739.52	40504.72	
-740.84	40550.07	
-742.17	40595.32	
-743.50	40640.47	
-744.83	40685.53	
-746.16	40730.48	
-747.48	40775.34	
-748.81	40820.11	
-750.14	40864.77	
-751.47	40909.34	
-752.79	40953.80	
-754.12	40998.17	
-755.45	41042.44	
-756.78	41086.61	
-758.10	41130.69	
-759.43	41174.66	
-760.76	41218.54	
-762.09	41262.32	
-763.42	41306.01	
-764.74	41349.59	
-766.07	41393.08	
-767.40	41436.46	
-768.73	41479.75	
-770.05	41522.95	
-771.38	41566.04	
-772.71	41609.04	
-774.04	41651.93	
-775.36	41694.73	
-776.69	41737.43	
-778.02	41780.04	
-779.35	41822.54	
-780.68	41864.95	
-782.00	41907.25	
-783.33	41949.46	
-784.66	41991.58	
-785.99	42033.59	
-787.31	42075.51	
-788.64	42117.33	
-789.97	42159.05	
-791.30	42200.67	
-792.62	42242.19	
-793.95	42283.62	
-795.28	42324.95	
-796.61	42366.18	
-797.94	42407.31	
-799.26	42448.34	
-800.59	42489.28	
-801.92	42530.11	
-803.25	42570.85	
-804.57	42611.49	
-805.90	42652.04	
-807.23	42692.48	
-808.56	42732.83	
-809.88	42773.08	
-811.21	42813.23	
-812.54	42853.28	
-813.87	42893.23	
-815.20	42933.09	
-816.52	42972.85	
-817.85	43012.51	
-819.18	43052.07	
-820.51	43091.54	
-821.83	43130.90	
-823.16	43170.17	
-824.49	43209.34	
-825.82	43248.41	
-827.14	43287.38	
-828.47	43326.26	
-829.80	43365.04	
-831.13	43403.71	
-832.46	43442.30	
-833.78	43480.78	
-835.11	43519.16	
-836.44	43557.45	
-837.77	43595.64	
-839.09	43633.73	
-840.42	43671.72	
-841.75	43709.61	
-843.08	43747.41	
-844.40	43785.11	
-845.73	43822.71	
-847.06	43860.21	
-848.39	43897.61	
-849.72	43934.92	
-851.04	43972.13	
-852.37	44009.23	
-853.70	44046.25	
-855.03	44083.16	
-856.35	44119.98	
-857.68	44156.70	
-859.01	44193.31	
-860.34	44229.83	
-861.66	44266.25	
-862.99	44302.58	
-864.32	44338.80	
-865.65	44374.93	
-866.98	44410.96	
-868.30	44446.90	
-869.63	44482.73	
-870.96	44518.47	
-872.29	44554.11	
-873.61	44589.64	
-874.94	44625.09	
-876.27	44660.43	
-877.60	44695.68	
-878.92	44730.82	
-880.25	44765.88	
-881.58	44800.83	
-882.91	44835.68	
-884.24	44870.43	
-885.56	44905.09	
-886.89	44939.65	
-888.22	44974.11	
-889.55	45008.47	
-890.87	45042.74	
-892.20	45076.91	
-893.53	45110.98	
-894.86	45144.95	
-896.18	45178.82	
-897.51	45212.59	
-898.84	45246.27	
-900.17	45279.84	
-901.50	45313.32	
-902.82	45346.71	
-904.15	45379.99	
-905.48	45413.18	
-906.81	45446.26	
-908.13	45479.25	
-909.46	45512.14	
-910.79	45544.93	
-912.12	45577.63	
-913.45	45610.23	
-914.77	45642.73	
-916.10	45675.13	
-917.43	45707.43	
-918.76	45739.63	
-920.08	45771.74	
-921.41	45803.75	
-922.74	45835.66	
-924.07	45867.47	
-925.39	45899.18	
-926.72	45930.80	
-928.05	45962.32	
-929.38	45993.74	
-930.71	46025.06	
-932.03	46056.28	
-933.36	46087.41	
-934.69	46118.43	
-936.02	46149.36	
-937.34	46180.20	
-938.67	46210.93	
-940.00	46241.57	
-941.33	46272.10	
-942.65	46302.54	
-943.98	46332.88	
-945.31	46363.12	
-946.64	46393.27	
-947.97	46423.31	
-949.29	46453.26	
-950.62	46483.11	
-951.95	46512.87	
-953.28	46542.52	
-954.60	46572.07	
-955.93	46601.53	
-957.26	46630.89	
-958.59	46660.15	
-959.91	46689.32	
-961.24	46718.38	
-962.57	46747.35	
-963.90	46776.22	
-965.23	46804.99	
-966.55	46833.66	
-967.88	46862.24	
-969.21	46890.71	
-970.54	46919.09	
-971.86	46947.38	
-973.19	46975.56	
-974.52	47003.64	
-975.85	47031.63	
-977.17	47059.52	
-978.50	47087.30	
-979.83	47115.00	
-981.16	47142.59	
-982.49	47170.09	
-983.81	47197.48	
-985.14	47224.79	
-986.47	47251.99	
-987.80	47279.09	
-989.12	47306.09	
-990.45	47333.00	
-991.78	47359.81	
-993.11	47386.52	
-994.43	47413.13	
-995.76	47439.65	
-997.09	47466.07	
-998.42	47492.39	
-999.75	47518.61	
-1001.07	47544.73	
-1002.40	47570.75	
-1003.73	47596.68	
-1005.06	47622.50	
-1006.38	47648.23	
-1007.71	47673.87	
-1009.04	47699.40	
-1010.37	47724.84	
-1011.69	47750.18	
